Goal No.,Goal No.,title,Abstract
9,4,Safety Evaluation of Model Airplane Propeller and Surface Stress Measurement of Rotating Body with X-ray ,"There is a pylon race with a model airplane in air sports. In many cases, the propulsion propellers for model airplanes have been verified for speed performance. However, the viewpoint of the safety parameter in the material strength hasn’t been verified for a long time. Thus, in this research, the safety strength of the propeller built in model airplanes are estimated by the numerical analysis and the X-ray stress measurement technique.
©
The numerical analysis in this research employed the finite volume method include in Solid Works , 3D CAD
software. On the other hand, surface stress in the propeller was measured by X-ray technique with 2θ-sin2 𝜓 method. Both of results from the numerical method and from the X-ray measurement are compared in this research. The simple propeller model was prepared by steel material. This propeller has no twist, and shape is straight strip, size is 140mm × 15mm × 2mm. The propeller was rotated by the DC-motor, and rotating speeds was from 120rpm to 10000rpm approximately."
9,7,Analysis on optical path of Doppler signal from circular pipe using multipoint laser Doppler velocimetry ,"Blood flow velocity distribution can be detected using multipoint Laser Doppler Velocimetry (MLDV) under noninvasive measurement [1]. MLDV is referred to as blood vessel imaging techniques, has contributed and continues to contribute the diagnosis and monitoring of disease, as well as medical research. Since MLDV has only small measurement size, the measurement object is mainly use to blood vessel or narrow flow channel. On the other hand, by expanding to wide measurement region covering flow channel, the MLDV can be used in industry field not only bio medical field. In this paper, the MLDV which has wide measurement region was constructed (as seen in Fig. 1), and multipoint velocity measuring was carried out. In that case, optical path from circular pipe was analyzed under Snell’s law. Our targets are to detect flow velocity distribution and to measure flowrate in circular pipe"
9,7,Positioning System of Ultrasonic Vibration with Making Functionality Texture ,"We propose and analyze the texture’s condition created by ultrasonic vibration processing on-machine. In the past research, we designed and made a precise positioning device with a dual servo mechanism that uses a ball screw and a linear guide for the coarse positioning actuator and a stacked piezoelectric element (PZT) for the precise positioning actuator. We will feed back the results and conduct research related to the development of systems that improve the functionality of textures.
The surface shape of the texture created by ultrasonic vibration processing has a fine structure, and high speed and high accuracy positioning that can withstand ultrasonic vibration processing are necessary to achieve functionality. In the previous research, we developed the precise positioning actuator for 3D model as shown in Fig.1. This actuator was composed of a PZT that has a mechanism to constrain the displacement direction. There is a semicircular hinge between the upper part of the displacement occurs and the PZT as shown in Fig.2.The results of the frequency characteristics and resonance frequency of 91.78 kHz are shown in Fig.3. The working distance is 0.49 m at 150V.
We examine the effect of this actuator positioning performance on the functional texture created. Specifically, in processing that achieves a microscopic microstructure, we will examine the effect of large macro waviness on functionality and consider improving functionality through actuator positioning feedback."
9,12,Ultrasonic Turned Micro Texturing Technique to Reduce Friction Force ,"Tribological properties such as lubrication, friction and wear resistance are important for mechanical engineering to improve machine operating efficiency, machine performances and machine life. To improve the tribological properties, surface texturing methods are available such as scraping. Scraping fabricates many small depression on target surface evenly, the depression will function oil hole to improve lubrication performance. Many researchers have reported the surface texturing method to employ fast tool servo, turn mill processing and digital data based texture machining. This paper reports a surface texturing method by ultrasonic vibration turning to improve tribological properties. In ultrasonic turning, cutting tool tip is vibrated in principal direction and radial direction simultaneously origin from poisons deformation. The radial direction tool vibration acts to dig up or to push workpiece surface in radial direction periodically, textured surface will be obtained. Figure 1 shows microscopy images of textured surface by ultrasonic turning. Turned surface has periodically depressions along workpiece rotational direction. In order to evaluate the tribological performance of the turned surface, friction coefficient between stainless steel pin and turned surface were measured under oil dipping condition. Friction experiments result is shown in Figure 2. It was confirmed that friction coefficient of ultrasonic turned surface is reduced compared with ordinary turned surface. Friction coefficient fluctuation of textured surface is reduced comparison with ordinary turned surface. The result shows textured surface by ultrasonic turning has stable friction properties. Another effects of ultrasonic turning that hardness and wear resistance property of turned surface improvement were observed in this research."
9,7,Analysis and Evaluation for Sliding Behavior of Water Droplets on Surface of Silicone sheets ,"○Introduction
Water-droplets on the surface of composite silicone
rubber sheet with VGCF (Vapor Grown Carbon Fiber)
become slippery. Sliding resistance applied to water
droplets on the surface of the sheet and the amount of
VGCF decreasing this resistance have not been made
clear. The aims of this research were to create a sheet
with different amount of VGCF and to examine the
amount of VGCF which the water drop on the surface is the slippery most.
○Experimental samples
A thermo-setting silicone resin is selected as matrix material for plastic sheets. VGCF provides a good mechanical reinforcement potential to the plastic sheets. The amount of VGCF was 2wt% and 5wt%.
○Measurement method of sliding resistance (called Pull off force)
Analysis and Evaluation for Sliding Behavior of Water Droplets on Surface of Silicone sheets
       The experimental system is shown schematically in Fig. 2. The liquid bridge forms between the probe and the sheet. The top plate is supported with a parallel leaf spring. While the sheet moves laterally by the stage, the lateral force acts on the probe is measured from a deflection of the parallel leaf spring via a non-contact capacitive displacement sensor. The lateral force was called Pull off force.
○Results and Discussion
Fig.2 Schematic of experimental apparatus.
  Figure 3 shows that the pull off forces on the surfaces of the
pure sheet, the VGCF2wt% sheet and the VGCF5wt% sheet.
The forces linearly increase during early stage of the shearing
process and then reach a steady state. The initial inclination of
the force applied to the surface of the pure sheet, the
VGCF2wt% sheet and the VGCF5wt% sheet about coincide.
The pull off forces in the steady state of VGCF2wt% sheet were
approximately 0.5 times than those of the pure sheet. The pull
off forces in the steady state of VGCF5wt% sheet were comparable than those of the pure sheet."
9,8,Strength Evaluation Method of Piezoelectric Materials by Use of Similarity of Elastic Analysis Theory ,"Piezoelectric materials have become an important branch of modern engineering materials with the recent development of the intelligent materials and structures. So there has been considerable research on the stress concentration and singularity for piezoelectric materials by using theoretical and numerically analysis method [1] [2]. But by the difficulty of measurement method and specimen creation, its experimental studies have not yet been conducted so much. For determination of fracture mechanics parameters, the establishment of experimental evaluation method of mechanical and electric fields in piezoelectric materials is required. So we focused on the similarity of analysis theory between piezoelectric materials and elastic materials.
In this research, clarifications of similarity of analysis theory for piezoelectric materials polarized in each direction are performed. Furthermore, the estimation methods of strain field in piezoelectric materials are proposed by use of similarity.
Analysis theory for piezoelectric material polarized in the thickness direction is similar to that of torsion problem for isotropic materials. Governing equations are given as follows:
22
 U  0,   0 for piezoelectric materials
2  0 for isotropic materials of torsion problem
On the other hands, analysis theory for piezoelectric material polarized in the plane direction is similar to that
of anisotropic materials. Governing equations are given as follows: (L L  L 2 )U  0 for piezoelectric materials
   423 2
(L4L2 L3)F0 foranisotropicmaterials
And we propose the estimation method of strain  p in piezoelectric materials as follows:
p Exp  where
Exp :Experimentsresult(Torsion test forisotropic materisal)or(Tensiletest foranisotropic materials)
 : Collection value
Table.1 shows the displacement value when voltage is applied to the piezoelectric materials. Estimated values
and measured values follow. The validity of this method was confirmed."
9,7,Characteristics of Hydrogen-Carbon Dioxide Jet Diffusion Flames on Slit Burner ,"In recent years, global warming has become one of severe problems in the world. This problem is mainly caused by emissions of carbon dioxide. Thus, the use of hydrogen has increased in order to realize the low carbon society, and then hydrogen storage tanks have become widespread. Now, carbon dioxide, an inexpensive inert gas, is added to hydrogen to suppress explosion. In order to use hydrogen safely, it is necessary to investigate the behavior and structure of jet flames caused by mixture leak from the crack of hydrogen storage tanks. We need to elucidate the characteristics of hydrogen-carbon dioxide jet diffusion flames.
In this paper, we observed experimentally the structure and behavior of hydrogen-carbon dioxide jet diffusion flames on slit burner and investigated the effects of flow rate of mixture and hydrogen concentration. The slit burner port is 1 × 60 mm. The flow rates of hydrogen-carbon dioxide mixture Q are 0.10–5.00 L/min, the average flow velocities V are 0.03–1.39 m/s and the hydrogen concentration of the mixture is up to 70%. We took direct photographs using a digital camera to obtain the size of separate flamelets, flame height and flame width on slit burner.
The flammable range of the hydrogen concentration widened as the flow rate of hydrogen-carbon dioxide mixture increased. The flame height increased as the flow rate of hydrogen-carbon dioxide mixture increased. This was because the flame height increased with the flow rate in laminar diffusion combustion."
9,12,Evaluation of Shape Accuracy and Strength of MAX phase Ceramic Female Thread Machined by Lathe,"Screws are used in various fields so that there is no machine that does not use screws, but screw seizure and
deformation are likely to occur in fastening of casting equipment, industrial furnaces, burners, etc. Although it is
[1] sufficient to use ceramic screws with high heat resistance. The authors have studied thread processing , but
ceramics have high hardness and low toughness, so threading with existing taps is difficult.
In this study, the processing and tightening characteristics of MAX phase ceramic female threads are evaluated. Internal threading is performed on the material of the MAX phase ceramics with a tap attached to the lathe, and then the thread is processed(Fig.1), so the strength of the screw is evaluated using a compression load tester(Fig.2). Furthermore, the shape of the threaded part and the surface roughness of the cut surface of the MAX phase ceramic female thread are measured using a laser microscope. The excellent shape accuracy of the MAX phase
ceramic female thread will appeal to the potential of ceramics, which has previously been difficult to machine. Since parts can be manufactured using existing processing resources, screws of MAX phase ceramics can be used with small capital investment even in small and medium-sized enterprises. Taking advantage of this feature,
 MAX phase ceramic screws are expected to be commercialized in cooperation with companies."
9,12,Wedge cutting characteristics of copper foil stacked on adhesive tape ,"A wedge indentation processing is widely used for cutting off a sheet material into a complicated formed pattern such as carton boxes, labels, insulation films and similar metal thin sheets. When wedge cutting in laminated structure, there may occur trouble due to air inflow, the peeling of the cut end-surface and separation of flow and cut end-surfaces of the glue. But the trouble has not been clarified sufficiently. The measures taken by experience knowledge of the operator. Processing conditions of wedge cutting to evaluate the effect of the cutting properties of the laminated structure, it is necessary to clarify the proper cutting conditions. Therefore, in this study, effect of cutting speed and the included angle in cutting of the structure on the processing characteristics, for the roughness of the cut and the cutting shape with a wedge blade, was analyzed experimentally. By under various conditions, and subjected to observation of the test piece cut end surface and the cutting test, the maximum cutting force and the warp angle measurement of the cut section, it was confirmed that the included angle and the cutting speed affects the cutting processing characteristics"
9,11,"Device Development for Stress Control
Using Piezoelectric Actuator and Verification Experiment","It is important to control the growth of fatigue cracks for a long time. These cracks usually occur from the stress concentration at the corner and the heat stress area by the welding heat and so on. And these are growing due to the vibration. When a crack length reaches the limit, it is called an unstable fracture state. Then, it cannot be controlled.
The aims of this study are to relax the stress of stress concentrated part and to suppression crack growth. By using the piezoelectric actuator as a method of suppressing crack growth, we could perform relaxation in the stress of stress concentrated part. However, if the piezoelectric actuator adhered to the test piece directly, a problem arises. As problems, the amount of deformation escapes to the outside, or repeating attachment and detachment damages the piezoelectric actuator. We need method of locally and efficiently compressing the stress concentration part. We also need how to detachable. Therefore, we developed the device of compressive stress field that is easy to set. By using this device, we can take compression locally and simply. We will confirm prolonging life of the material by performing fatigue test, using this device (Fig. 1)."
9,7,Absorption properties of Cu2O nanosphere solutions for microfabrication of Cu-based microstructures by green femtosecond laser pulses ,"Three-dimensional microfabrication using femtosecond (fs) laser pulse-induced multi-photon absorption is promising for direct writing of polymer and metal microstructures. To date, Au and Ag microstructures have been
[1]
Cu2O NS solution were synthesized by polyol method. The solution was spin-coated on glass substrate and baked. Direct writing using green femtosecond laser pulses was performed in air. Wavelength, pulse duration, and repetition rate of the laser were 515 nm, 100 fs, and 40 MHz, respectively. The laser pulses were focused onto the samples using an objective lens with a numerical aperture of 0.90.
Figures 1(a) and 1(b) show single- and multi- photon absorption properties. Although the absorption at the wavelength of fs laser pulses (515 nm) was small, an intense absorption was exhibited at the half of the wavelength. In addition, the transmittance at around z = 0 was low in z-scan method. These results indicate that two-photon absorption was dominant. Figures 2(a) and 2(b) show AFM images of the microstructures fabricated at the focal spot of z=-2.5 and -3.0 respectively. The height of the micropatterns depended on the focal spot as shown in Fig. 2(c). These results suggest that the microstructures were directly formed inside the Cu2O NS solution film using two-photon absorption.
fabricated using near-infrared (NIR) fs laser pulses
femtosecond laser pulse-induced thermochemical reduction of Cu2O nanospheres (NSs)
to obtain finer microstructures due to longer wavelength of NIR fs laser. In this study, Cu-based microstructures were fabricated by reductive sintering of Cu2O NSs using green fs laser pulses. First, absorption properties of Cu2O NS solution were evaluated at green fs laser wavelength. Then, 3D microfabrication was performed."
9,7,"Edge Detection of Magnetic Domain Images Obtained by a Magneto-optical Kerr Effect
 Microscopy with Au Plasmon Filters","Nd-Fe-B magnets have attracted attention to be used for traction motors. However, the coercive force of the magnet significantly decreases at high temperature. Coercive forces of the magnetic materials depend on the microstructures which are composed of the materials. Therefore, observation of the magnetic domains is important. To date, we have achieved high-contrast and high-resolution imaging of the magnetic domains of Nd-Fe-B by a magneto-optical Kerr effect microscopy using Au plasmon filters [1]. However, the detection of the magnetic domains was manually operated. In this study, we obtained the images of magnetic domains and automatically detected of their edges to apply this system to in-Situ observation.
Figures 1 show a magneto-optical Kerr effect microscopy and an Au plasmon filter. In the microscopy, lineally polarized incident light was irradiated to the surface of the magnet which was covered by the Au plasmon filter. As a result, high contrast images were obtained by increasing of the magneto-optical Kerr effect. The images of fine magnetic domains were also cleared, resulting that high resolution imaging was achieved. The Au plasmon filter was fabricated by Au thin film deposition on SiO2 glass substrates, following the heating at 350 °C for 1 hour in air. Au nanoparticles were self-organized on the substrate.
Figures 2(a) and 2(b) show an obtained image and (b)the image with edges of magnetic domains which were automatically detected, respectively. First, a brightness distribution of the original image was obtained. The two peaks were determined as black and white. When the brightness differences between the adjacent pixels was over the certain value, it was judged as the edges of the magnetic domains. The edges of the magnetic domains were quantitatively detected. The minimum resolution was ~500 nm which was consistent with the value conventionally obtained by the mapping of the brightness mapping of the images. These results indicate that the automatic detection of the edges of the magnetic domains by the proposed algorism was achieved. In the future, we will apply this method to in-Situ observation of the magnetic domains."
9,11,EFFECT OF DUST PROOF DEVICE OF BLOWDOWN WIND TUNNEL INLET ON THE MAIN STREAM,"It is well known that mainstream turbulent intensity in wind tunnel experiments affects flow transition and separation. In order to reduce the mainstream turbulent intensity, the rectification condition inside the wind tunnel is shown. However, the turbulence intensity did not decrease even if the conditions were satisfied in the wind tunnel of our laboratory. As a cause, it was found that the turbulence from the dust proof device at the air inlet of blower fan is not rectified even if it passes through the rectification unit. In this research, it is investigated the relationship between the turbulent intensity of mainstream and the dust proof device of blower fan.
In the experiment, 4 types of dust proof felt with different resistance values K are installed on the wire mesh installed in the blower fan. Felt A is a non-woven fabric sheet for gardening, and felt B ~ D are fan filters with different thickness. The average velocity Uave and turbulent intensity Urms are calculated from the fluctuation velocity measured by hot-wire anemometer at the center of the wind tunnel exit. The main stream velocity is adjusted by changing the blower fan inverter frequency from 0 to 60Hz.
The average velocity distribution is shown in Fig. 1, and the turbulent intensity distribution is shown in Fig. 2. The average velocity becomes slower in proportion to the resistance value K. On the other hand, the turbulent intensity distribution is not the only effect of resistance value K."
9,11,"Luminance Distribution and Stress Analysis
at the Stress Concentration Area using Mechanoluminescence","Currently, there are about 700,000 bridges in Japan. However, about 20[%] of these have been over 50 years old, and aging such as fatigue cracks and corrosion is considered serious. Therefore, it is important to grasp the deterioration situation on-site as soon as possible. One method is non-destructive inspection. But there are drawbacks such as high skill required for inspectors and inspection only within a narrow range. Accordingly, we focus on a material called Mechanoluminescence Materials and aim to develop a new non-destructive inspection technology that can be inspected for simpler and wider than the conventional method.
Mechanoluminescence Materials has the property that the stress concentration part emits light when mechanical external force is applied in the phosphorescent state(Fig.1).
The purpose of this study is to verify whether the luminance distribution and FEM have a high correlation even when the stress distribution is complicated by multiple defects. Tensile test was performed by applying mechanoluminescence material to two test pieces with one and three holes damaged. In comparison with the maximum principal stress, the distribution was similar in both the single hole and the three hole. In comparison with the equivalent stress, the distribution was close to more than the maximum principal stress between the three holes. Therefore, it is necessary to further study the analysis of complex stress fields."
9,7,Study on Surface Roughness Analysis Method Using the Least-Squares Fitting for Plateau Surface Texture with Insufficient Plateau Structure ,"
Roughness analysis methods for plateau structure surface have been proposed by ISO standards [1], JIS, and previous researches [2]. However, these analysis methods [1, 2] have a problem that the roughness parameter Rpq in the plateau area of the surface with insufficient plateau structure cannot be calculated. These problems are because of the surfaces with insufficient plateau structure have a narrow plateau area of the material probability curve (MPC). Development of a new roughness analysis method that can analyze surfaces with insufficient plateau structure is indispensable for revealing the progress of plateau surface wear demanded by the industry. We want to contribute engine performance improvements and CO2 emission reduction from automobiles by solving these problems related to the plateau surface. Therefore, this study develops a new analysis method that can evaluate to surfaces with insufficient plateau structure. The procedure of the proposal analysis method in this paper is as follows. 1. The variation in inclination of MPC i.e. the differential values, is obtained by scanning the window function from the left end of MPC to the right end and fitting the least-square line to the data in the window. 2. Local peaks and valleys are detected because the plotted differential values is wavy. This detection of local peaks and valleys is a preparation for obtaining a global inclination. 3. Relatively small peaks and valleys are removed to detect relatively large peaks and valleys from the plotted differential values. 4. The thresholds are set for determinations of LPL (lower limit of plateau region) and UVL (upper limit of valley region). The last peak before exceeding the threshold from the left end of MPC is determined as LPL, the first valley that exceeds the threshold from the left end of MPC is determined as UVL. 5. The plateau region is set from the left end of MPC to the LPL, and the valley region is set from the UVL to the right end of MPC. 6. Roughness parameters are obtained by fitting a least-square line to the plateau region and the valley region. In this study, the above analysis procedure and algorithm were researched and developed. As a result, we succeeded in deriving the roughness parameter Rpq of the plateau area for surfaces with insufficient plateau structure by the above analysis procedure and algorithm. On the other hand, the proposal method in this paper has some problems. Correspondingly, we intend to develop further superior evaluation algorithm for plateau surface."
9,12,Self-healing of Ni/Al2O3 composites for achieve Circular Economy ,"Circular economy (CE) is an economic concept aimed to eliminate waste by reducing or minimizing waste from using of resources and the continual use with improving the productivity of resource and keep product or equipment in use for a longer time [1]. The CE concept is useful for establish sustainable society. The Sustainable Development Goals (SDGs) is the Unites Nations concept which plans to action for people, planet and prosperity. The CE concept has the strongest relationship with SDG 8, 9, 12 and 15 which aim to sustainable economic development, sustainable environmental and sustainable social development. To achieve goals of the CE concept, self-healing materials will be proposed with their good properties such as high reliability and long lifetime. Alumina (Al2O3) has been widely used in industry because of their excellent properties such as high-temperature resistance, high hardness and high chemical stability. However, alumina is easy to be broken due to its brittleness. This weakness has been restricted to its application and lifetime. To overcome this weakness, dispersion of non-oxide phase such as nickel (Ni) to alumina matrix can increase their toughness and give self-healing function. The self-healing function in Ni/Al2O3 composites can increase the reliability and lifetime of these materials. Maruoka and Nanko reported self-healing of Ni/Al2O3 nanocomposites. Ni dispersoid in the matrix were oxidized at high temperatures in air. NiAl2O4 as the oxidation product was filled up the surface crack of the composite [2]. As well, Dake et al. reported repeatability of healing in Ni/Al2O3 [3]. In this paper, self-healing Ni/Al2O3 is discussed for using in CE to achieve the sustainable developments."
9,12,The MAX phase ceramics to achieve a circular economy ,"Circular economy (CE) has been proposed as a way to achieve the Sustainable Development Goals (SDGs). Circular economy means an economy that does not produce waste by reusing resources at each stage of production, consumption and disposal[1]. The achievement of CE will improve the sustainability of society. In order to achieve CE, it is necessary to spread materials with high producibility and long lifetime. Conventional engineering ceramics have high production cost because of machining with diamond cutting tools and polishing for long time. They need smooth surface without cracks for removing surface crack, which reduce in mechanical strength. Ti2AlC ceramics is one of the MAX phase ceramics, which is the layered ternary transition metal carbides and nitrides. The non-oxide ceramics have received attentions due to their excellent mechanical properties, their good resistance against high-temperature oxidation and machinability via cemented carbide cutting tools. Ti2AlC ceramics has been studied as a potential candidate expected to be used in various mechanical components. Roughly machining Ti2AlC ceramics has high bending strength comparable with polished ones. This means the Ti2AlC ceramics has excellent capacity for high speed machining without surface damage leading to decrease their mechanical properties. Machining cost of the Ti2AlC ceramics is much lower than that of grinding of conventional engineering ceramics with diamond grinding wheel. As well Ti2AlC ceramics has been reported to have self-healing ability via thermal oxidation process [2]. When using self-healing Ti2AlC ceramics, surface cracks can be recovered by heat treatment in oxidizing atmosphere. Self-healing function of the Ti2AlC ceramics are very useful for achieving CE. The Ti2AlC ceramics are useful for achieving the SDGs by realizing a circular economy."
9,4,IMPROVEMENT OF MECHANICAL PROPERTIES OF FRICTION STIR WELDED T-LAP DISSIMILAR METAL JOINTS BY APPLYING TOOL OFFSET AND REVERSED METAL FLOW,"
In the recent years, the fuel efficiency, saving the materials, and environmental pollution have been becoming the great challenges to manufacturer. The uses of lightweight alloys such as titanium, aluminum, magnesium, etc., and hybrid materials consisting of dissimilar metals are considered as the suitable solutions to solve these difficulties. Currently, applying the conventional welding methods to join dissimilar metals has not been satisfactory in these requirements. Friction Stir Welding (FSW), a solid-state welding technique, is considered as new and earth friendly advanced technology to achieve good mechanical properties of the joint.
In this study, the effects of tool offset and the reversed metal flow induced by a double-pass welding on the characteristics of FSWed interface were investigated to fabricate higher performance dissimilar thickness T-lap joints between 7075-T651 and 5083-H116 aluminum alloys. The experimental works demonstrated the size of kissing bond defects could be reduced by offsetting the tool pin to the advancing side in the double-pass FSW. Application of the double-pass welding successfully improved the mechanical properties of the T-lap joint. The joint efficiency by combining these methods reached about 90% in comparison with the base metal."
9,4,Fatigue strength of dissimilar metal friction-stir welded joint between TRIP steel and mild steel ,The development of friction stir welding technology has led to the possibility of fabricating highly efficient dissimilar metal joints. There are applications in high technology areas like gas turbine and high speed transportation industry for the use of dissimilar metal friction stir welded joint between TRIP steel and mild steel. In the present study the fatigue behavior of the dissimilar joint between TRIP steel and mild steel is studied and compared with the behavior and properties of similar metal friction stir welded TRIP steel and monolithic TRIP and mild steel. The fatigue strength of the all the above mentioned were compared and microstructure analyzed. The microhardness distribution for dissimilar metal joint was obtained and variations were analyzed in stir zone.
9,12,"Study on collection system with pipe air flow for slitter rewinder (Joint research and education by Nagaoka University of Technology, National College of Technology and its local company) ","A slitter rewinder is a machine that rewinds a strip of paper or film, cuts it into strips of any width, and rewinds it. The slitter manufactured by Ebara Industries has a high reputation for quality and work efficiency and has the top share in Japan1). In the slitter processing, there are “ears” that are disposal portions at both ends of the material. The collect process for disposal part is one of the essential parts of slitter system. In order to collect the ears, it is necessary to maintain an appropriate tension to the ears in accordance with the winding speed. If the conditions are not appropriate, the processing part becomes twined around the rotating part and the entire system needs to be stopped. Ear processing capability is one of the important factors because it also becomes a bottleneck in the processing speed of the entire device. As the ear processing method, a method of mechanically winding up the ear portion and a method of sucking into the tube using the subsonic flow flowing in the circular tube have been put into practical use. The latter method is widely used for the slitter for oversea because of high cost performance. However, there are still many unclear adverse events for this technique, such as the mechanism of ears clogging and twisting. Understandings these phenomena may lead to the development of technique with excellent cost, performance and environmental impact.
In this study, we investigate the suction performance of the latter method on the main dimensions of the suction pipe using the computational fluid dynamic method. In addition, thouth this project, it become nice case study for collaboration work with Nagaka University of Tech., Tsuyama Kosen and its local company for not only research work, but also the purpose of human resource education."
9,12,"Effect of Width of Underlay to Cutting characteristics of Polystyrene Bars Subjected to
Wedge Indentation","A wedge indentation is widely used for cutting off a complicated-formed pattern from a sheet material.
But mostly researches were involve with the sheet material during wedge indentation process. So there were
insufficient theories to explain the cutting load response and deformation behavior of bars material during the
symmetry blade indentation process. However, several problems that affect to the product quality and cutting
possibility are caused by friction of underlay of the cutting process.
(1)
So, this research was aiming to compare cutting characteristics of Polystyrene (PS) square bars that subjected to indentation of a symmetry (42°) blade and mounted on Al5051 plate underlay Polystyrene (PS) square with bars that subjected to indentation of a symmetry (42°) and mounted on Al5051 anvil. In order to compare load resistant from cutting process, the FEM code (MSC.Marc-2015) were used along with the experiment for
-1
analysis. The indentation velocity was keeping 1 mm·s . From simulation, the result revealed that when varied
the width of underlay from 40 mm to 10 mm, the load response was not changed. While, in the experiment of indentation process when the width of underlay was 3 mm, the load response was decreased. Furthermore, the stroke of breakage and deformation of Polystyrene bar were detected by using a microscope CCD camera during the cutting process.
REFERENCES
[1] Nagasawa, S., Masatoshi, F., Yasushi, F., Finite Element Analysis of Cutting Deformation of Stacked Polycarbonate Sheet
Subjected to Two-Line Wedge Indentation, Journal of Solid Mechanics and Material Engineering, Vol.5 No.12, (2011), pp.721- 730.
Nagasawa et al.
wedge indentation. This report showed that when changed the friction coefficient of contact surface, the cutting load resistant is possibly changed and its dispersion is generated. Not"
9,12,Research on Resistance of Membrane against Falling Object ,"Membranes for ceiling have strength that catches falling object softly [1], it is not, however, always possible to absorb shocks and broken depending on the mass and shape of the object. The purpose of present study is to examine the resistance of membrane against falling object from ceiling. An attempt to clarify the conditions of breakdown the membrane was carried out by analyzing Stress and deflection of the membrane generated by falling object. First, the mechanical properties of glass fiber reinforced plastic membrane (GFRP) used in this study were measured by tensile test. Second, 3D models were created and analyzed by Finite Element Method (FEM) with a simulation code Fusion 360 [2]. In the simulation, each pile weighing 3kg and 7kg was dropped to the 400x400 and 1900x1900 GFRP. As a result, when the piles were dropped from a height of 1m, only the combination of 3kg pile, 400x400mm membrane caused rapture, and other combination, 7kg, 1400x1900mm did not rupture. Furthermore, the combination of 3kg, 400x400mm did not cause rupture when the height were 0.1m and 0.5m. Although the GFRP used in the present paper has almost linear tensile properties, viscoelastic materials will be investigated to expand the simulation as the further study."
9,,Two-dimentional functional thin film preparation by sputtering deposition using powder targets ,"We have been prepared functional thin films by sputtering deposition method using powder targets to prepare the thin film with certain element ingredients. In this method, several kind of powders were mixed by mixer, and just put on the target holder in the vacuum chamber. And then thin film were deposited on the substrate which was set to the counter side. We have been applied to the preparation of some functional thin films, for example, bismuth iron garnet (Bi3Fe5O12) films which used for magnet-optics , and Sn doped SiO2 thin films by sputtering using SnO2 and SiO2 mixed powder target [1, 2]. In those experiments, two- dimensional profiles of the prepared thin films were not uniform several time. In that preparation, used powder targets were not fully mixed and they showed distribution. Their two dimensional profiles was similar to the sputtering deposition target profile on the target holder. In this experiment, we tried to prepare functional thin film with two dimensional profile using target holder which have two-dimensional profile. The deposition chamber was made by stainless steel. First, the powder targets were set up on a stainless steel target holder. Target holder have four holes and four kinds of powder targets was put on the each holders. In this experiment, W, Ti, Al and SnO2 powders were used as the sputtering targets. The chamber was evacuated to 1 Pa using a rotary pump, and then to a base pressure of 5×10-3 Pa using a turbomolecular pump and rotary pump. The deposition total pressure (P) was 10 Pa and argon (Ar:99.99%) at a flow rate of 10 sccm. DC plasma was generated by DC power source, and discharge voltage was 800 V and discarge current was ~100mA. The Si and glass substrates located 2.0 cm from the target. The deposition time was fixed to 120 min, the substrate temperature (Ts) was increased from room temperature. In our previous work, XPS narrow spectra of the prepared film using SnO2 and SiO2 mixture powder target were measure. Clear (a)Si 2p, (b)Sn 3d5/2 and (c)O1s peaks
were observed, which means the prepared films were Sn
doped SiO2. Fig. 1 shows the dependence of the Sn and
Si concentration ratio on the SnO2 and SiO2 mixture
powder target. As the results, Sn and Si concentration
ratio was almost linearly increased with increasing SnO2
and SiO2 powder mixture.
 Two dimensional elements profile of the surface of the deposition film was measured by EDX (EDAX; Genesis XM2). The results suggest that there are four elements of W, Ti, Al and Sn, on the surface of the film and their profile of the film was similar to that of the targets. The results suggest that two dimensional functional thin film can be prepared using the new sputtering deposition method using powder target."
9,8,Robustness Analysis of Force Control System Considering Vibration Suppression for Co-operative Robot ,"In 2013, the Ministry of Health, Labor and Welfare deregulated an industrial robot. Thereby, under the suitable installation condition, the industrial robot can operate as co-operative robot, without the safety fence. Recent years, the co-operative robot is focused from two points of view. Firstly, by removing the safety fence, the user can save the installation space and reduce the cost of safety fence. Secondly, the co-operative robot expands the application of industrial robot because the co-operative robot can work with people. Thereby, the co-operative robot can operate the work which is difficult for the usual industrial robot. Generally, features of environment, such as the stiffness, shape and weight of contact target, is inconcrete. Furthermore, the vibration of robot arm is caused by the weight saving and miniaturization. Therefore, the contact stability analysis considering these problem is important for the co-operative robot.
Considering this problem, this paper proposes the force control system considering the contact to environment and the vibration suppression of reduction gear for the co-operative robot. Furthermore, by using the small gain theorem, this paper analyzes the contact stability concerning the contact target having various environmental stiffness. The analysis results show that the stable area becomes broader by the increment of environmental stiffness. However, the cutoff frequency which satisfy the internal stability of disturbance observer is increase. It is noted that this analysis results are obtained by the provisional parameters. As future works, the authors reanalyze the contact stability after identifying the mechanical parameters of experimental robot arm."
