Goal No.,title,Abstract,Conclusion,,
7,"Performance Evaluation of Linear MHD Accelerator with Oxygen-
Acetylene Mixed Combustion Gas","The Launch of the conventional chemical rocket is a three-stage rocket and the payload to
the outside of the atmosphere.
→Fuel tank, solid fuel booster is discarded and it becomes disposable.
1. It is able to apply MHD technology. An airplane type is selectively uses several
engines(ramjet engine, scramjet engine, rocket engine)to eliminate disposal [1].
2. It takes time to compare with chemical rocket engines alone but escape outside the
atmosphere at low cost[2].
The methods to carry efficiently payload and astronauts are required in zero gravity space.","To consider a method using Oxygen-Acetylene Mixed Combustion Gas by simulation.
→Under investigation due to no gas data (specific heat at constant pressure, entropy,
enthalpy, equilibrium constant, viscosity coefficient, thermal conductivity).
We will plan to refer from JANAF Thermochemical Tables SECOND EDITION or NASA's
TECHNICAL REPORT to obtain the gas data for simulation.",,
7,"Reseach and Development of a Wing Turbine with Circular Cylinder Blades
by Longitudinal Vortex.","The purpose of this research is to investigate the factors that improve the performance of a wind
turbine with circular cylinder blades driven by longitudinal vortex . This wind turbine is composed of
circular cylinder blades and a ring flat plate, and it was discovered rotating with new driving principle
by Takahashi (1) . Focusing on this wind turbine, we investigated the influence of the gap between the
circular cylinder blades and the ring plate for improving the C p value which is its power performance
from both analysis and experiment.
First, we explain the outline of analysis. Using the analysis software STAR-CCM+, it was
confirmed that a longitudinal vortex was generated behind the circular cylinder and the flat plate fixed
with reference to the report of Takahashi (1) . Analysis situation is only cylinder and flat plate as shown
in Fig.1. The mesh is cut with a size of 1 mm or less in the periphery circular cylinder and the flat
plate, and the total mesh number is about 5.9 million mesh. Next, under the same conditions as above,
analysis is carried out in a situation where it moves vertically downward with respect to the flow at a
relative velocity of 1 m/s only to the cylinder. At that time, the gap is changed, and the velocity vector,
vorticity and pressure difference around the circular cylinder blade were compared and the tendency
of the gap and the optimum distance were investigated.
Next, we explain the outline of experiment. Based on the report of Takahashi (1) , a wind turbine
with circular cylinder blades was made with the same basic shape as shown in Fig.2. An experiment
was conducted by installing a wind turbine in a wind tunnel having a test section of 305×305×600 mm.
In order to evaluate the power characteristics as a windmill, a torque sensor and an electromagnetic
brake were connected to the rotating shaft, a load was applied by an electromagnetic brake, and the
torque, the output, and the rotational speed were measured. This makes it possible to create a power
characteristic curve (C p -λ curve) and to evaluate the influence of the gap between the cylinder blade
and the ring plate.
We will report details of the above analysis and experiment results.",,,
7,Development of a flapping-type drone with hovering capability.,"ntroduction
Today, drones can be used in a variety of fields such as military
reconnaissance, aerial photography, home delivery etc., because
they have a wide variety of ways of flight. These can be roughly
divided into two types of flight, a flight with fixed blades and one
with rotating blades, respectively. From the perspective of overall
flight ability, such as level flight, gliding, and hovering, it is
considered that flapping-type flight was more excellent.
We have developed mechanical system of flapping, fuselage,
wing shape and so on. Further, we have conducted basic
experiments of measuring lift force with the aim of achieving stable
hovering. In addition, to investigate how the vortex caused by the
flapping motion affects the lift force, a low-speed wind tunnel
dedicated to visualization by smoke was also developed and
visualization experiments of the flapping motion was carried out.","We will develop a complete autonomous
flying body.
 Investiga te the influence of the vortex
generated from wings on lift force.",,
7,Effect of gel immobilization materials on microalgal growth,"M icroalgae such as Chlorella species are conventionally used for health foods and
medicines. Its method for mass culture of algae is considerably valuable in microalgal
application because mass culture of microalgae is indispensable to industrial uses.
Nevertheless, the growth rate of microalgae is lower than that of bacteria. It remains
a challenge to cultivate microalgae stably. This study examined whether alginate
works as a growth-promoting substance on microalgae.","1. When Chlorella was cultured in alginate, they proliferated in media containing alginate more than in only medium.
2. Alginate solution contains more carbonate species than buffer without alginate.
3. Alginate is considered to keep CO 3 3 2 2- - and HCO 3 3 - - as a carbonate species.",,
7,Development of FRP with radiation resistance.,"In the decommissioning of Fukushima Daiichi Nuclear Power Plant, removal of fuel debris will be carried
out using a robot under a strong radiation environment. However, detailed information on the situation inside
the nuclear reactor has not been obtained.
A small underwater robot is necessary to investigate the inside of a nuclear reactor filled with water. In the
nuclear reactor, debris and broken pipes are scattered, so downsizing is necessary. Weight reduction is
necessary to improve the operability of the underwater robot.
We designed a FRP with high radiation resistance and shielding effect, assuming to use as the shielding
material for the remote underwater robots which will be used in high radiation area. And its physical
characteristics were evaluated."," From the results of the bending test, it was confirmed that the bending strength and the modulus of
elasticity decreased by the addition of the copper powder
- Gamma rays from a sealed
137 Cs source were irradiated on to the shielding material with monitoring the
counts measured by a radiation monitor. It was confirmed that, by adding copper powder, shielding effect
was enhanced. From the results, it was found that the copper powder contributed to gamma ray shielding.",,
7,"Irradiation of high-energy alpha particle and internal scattering in tungsten
for wall material in nuclear fusion system","Magnetic confinement nuclear fusion system is one of most clean energy sources
for the next generation. In this system, alpha particles are generated by nuclear fusion
reactions, and impacts to the wall of the vacuum vessel. Bubble structure creation and
recrystallization are generated with irradiating low energy (<keV) alpha particles [1,2].
On the other hand, high-energy (~MeV) alpha particles are irradiated to the reactor
wall by toroidal ripple loss or disruption. Thus, the creation of the defect layer along
the depth direction is concerned by the irradiation."," Debye-Scherrer rings were observed for the diffraction pattern in the non-irradiated area of the helium ion beam. On the other hand, the diffraction pattern in
the helium irradiated area was changed in comparison with the case for the non-irradiated area. This result suggests that the grain size inside the tungsten
sample at the helium irradiated area was larger than that at the non-irradiated area.
 The distribution of the implanted helium in the tungsten sample was calculated with the TRIM code. The result shows the broadening of the helium distribution
in the depth direction with the kinetic energy of 4MeV was 100 times larger than that for 250 eV. The reason for no bubble creation in this study is small
implanted heliums around the penetration depth due to the internal scattering.",,
7,"Measurement of incremental thrust and input power in pulsed diagonal
MHD accelerator","Performance required for electric accelerators
MHD acceleration is expected as a next generation of aero-space acceleration system.
• Having multiple diagonal electrodes
• Using pulsed-power discharge High specific impulses
Large Lorentz force can be generated with a single pulsed-power supply.","The dependence of the ratio of the incremental thrust and input power on the 
magnetic flux density, diagonal angle, and current pulse width in a pulsed  
diagonal MHD accelerator were investigated",,
7,"Growth of Cu2Sn1-xGexS3 Bulk Singl Crystals by Idoine Transport
Method"," Constituent elements: Abundant & non-toxic
 Band gap energy can be adjusted by changing X=Ge/IV(=Sn+Ge) , and can be
realized suitable band gap energy for single junction solar cell.
 Crystal structure of Cu 2 SnS 3 (for solar cell) is monoclinic. Therefore suitable
crystal structure of Cu 2 Sn 1-x Ge x S 3 is also deduced as monoclinic"," Cu 2 Sn 1-x Ge x S 3 bulk single crystals were grown by iodine transport method.
 Chemical compositions of the grown single crystals showed same tendency with the chemical
composition of the starting materials, and all samples were Cu-rich and S-poor.
 As X increasing main peaks of the XRD shifted from Cu 2 SnS 3 to Cu 2 GeS 3 .
 From the SEAD images, the grown samples were monoclinic Cu 2 Sn 1-x Ge x S 3 bulk single crystals.",,
7,"In-situ Observation by EC-FM-AFM on Reaction Process of Lead Electrode
Surface in Sulfuric Acid Solution","It is necessary to elucidate the reaction process near the negative electrode in order to improve
the ability of lead battery. Morphology change near the surface of the lead electrode during
Cyclic-Voltammetry (CV) measurement will provide us some cue to improve the electric
charging characteristics, which can be observed by means of electrochemical (EC) atomic force
microscopy (AFM). The purpose of this study is to understand the mechanism of
charge/discharge of lead battery in more detail.","EC-AFM using FM mode AFM (EC-FM-AFM) will be demonstrated. FM-mode AFM which
has an ability to visualize an atomic scale reaction is expected to give a cue to improve the
charge efficiency.",,
7,"11-Bromoundec-1-ene as co-monomer for synthesis of brominated
polyethylene","High density polyethylene(HDPE)
・ ・by transition metal catalyst
Ziegler-Natta catalyst : TiCl 4 /Et n AlCl 3-n
Kaminsky catalyst
Modified polyethylene
・by polymer reaction",Achieved the synthesis of ethylene and 11-bromoundec-1-ene copolymer,,
7,"Study on non-linear interaction of one-dimensional fast plasma flow with
perpendicular magnetic field","Clarification of generation process for high-energy particles in outer space, called as cosmic
rays (CRs), is a critical research topic in astrophysics. The feature of CRs is the non-thermal
energy distribution of a power-law spectrum, and the highest energy of CRs reaches to 10 20
eV [1] . Shock phenomena occurring in collisionless plasma such as supernova remnants are
believed the energy source of CRs. Diffusive shock acceleration (DSA) has explained the non-
thermal energy distribution of CRs as a statistical acceleration process through the shock
transition layer [2] . However, the generation process of non-thermal particles in the non-
relativistic region for driving DSA due to non-linear interactions between the fast plasma flow
and electromagnetic fields has not been clarified. Laboratory scale experiments provide “in-
situ” observation for charged particles interacting with electromagnetic fields to understand
physical processes in collisionless shocks.
The purpose of this study is to investigate an interaction of a one-dimensional fast plasma
flow with a perpendicular magnetic field. We have developed a tapered cone plasma focus
device to obtain the fast plasma flow in a laboratory scale experiment by using a pulsed-power
discharge [3] . The device produces a quasi-one-dimensional fast plasma flow with the similarity
for astrophysical phenomena [4] . Faraday cup measurement was performed to observe ion
behavior in the plasma flow. The experimental results showed the variation of the ion current
waveform depending on with/without an external perpendicular magnetic field. The ion current
preceding the main bulk was observed in the case with the magnetic field. The hybrid particle-
in-cell (PIC) simulation [5] showed the generation and the acceleration process of non-thermal
ions caused by the interaction of the fast plasma flow with the perpendicular magnetic field [4] .
The Faraday cup measurements indicate the existence of the accelerated non-thermal ions.",,,
7,Characterization and genetic analysis of novel oil-producing Microalgae.,,"・ Novel oil-producing microalgae were isolated from the fresh water pond.
・ Microalgae, strain β1 were identified as Coccomyxa sp. with phylogenetic analysis. It was revealed the intron (379 bp) in 18S rDNA existed in β1. The intron in 18S rDNA was
not reported in Coccomyxa sp. KN-2011-T3.",,
7,"Educiation of the relationship between nuclear dynamics and cellulose
productivity in filamentous fungus Trichoderma reesei.","Filamentous fungus Trichoderma reesei has been reported to produce a large amount of
cellulolytic enzymes. Therefore, many researches have focused on gene expression and genome
analysis in T. reesei because of the industrial usefulness of cellulases. Generally, filamentous
fungi are multicellular organisms that show apical growth and have multinuclear in each cell. In
addition, the nuclei are located everywhere from hyphae to conidia, and their accurate localization
is necessary for hyphal growth and conidium formation. Previously, reconstruction of 3D image
for T. reesei hyphae by Focused ion beam scanning electron microscope (FIB-SEM) suggested
that the nuclei dynamics maybe related to cellulase productivity. Therefore, the aim of this study
is to elucidate the relationship between cellulase productivity and dynamics of nuclear in living
cell and clarify function of nuclear in growing hyphae.
To observe nuclear in living cell, H2B-GFP expressing strain was constructed in nuclei Histone
protein H2B was fused to green fluoresce protein (GFP). Because GFP fluorescent of transformant
corresponded with that of DAPI staining, it was confirmed that GFP-fused H2B was successfully
expressed in the nucleus. To elucidate the relationship between cellulase productivity and
dynamics of nuclear in living cell, we compared the number of nuclei per cell on cellulase
producing condition (cellulose culture) and non-producing condition (glucose culture). As initial
results, the numbers of nuclei in were less than that on cellulase. Moreover, the proportion of
mononuclear cell rate in cellulose culture was much greater than that in glucose culture.
In the other hand, the live cell imaging method for monitoring the nuclear dynamics was
established. Nuclear fission and migration of the growing cell from conidia to vegetative hyphae
were observed by confocal laser microscope.",,,
7,"The involvement of transcription factors for protease induction in
Trichoderma reesei","Trichoderma reesei is an industrially cellulase produced
fungus. Stability of secreted cellulases in media is one of the key
factors to show their maximum enzyme activity. Previous studies
have recorded postMtranscriptional modification in cellulases by
proteases in T. reesei. As the infancy knowledge of this
regulation, the aim of this study is discerning relationship
between cellulase and protease regulation mechanism. We
identified the main extracellular protease; aspartic protease
Trichodermapepsin (TrAsP) by MALDIMTOFMMS analysis and its
involvement of cellulase degradation in Avicel by deletion of
trasp gene. qRTMPCR results revealed that the best inducers for
TrAsP is galactose. However, both Avicel and galactose, trasp
highly observed in late induction time. Further the
environmental responsive cellulase regulating transcription
factors were identified in TrAsP promoter region as following as
Xyr1, Cre1, AreA and Pac1. Deletant strain analysis revealed that
Xyr1, Cre1 and Pac1 behaved as repressors and AreA as an
activator. Further the main cellulase activator; Xyr1 acted as a
repressor for TrAsP in both Avicel and galactose in microarray
analysis. Consequently, we could propose TrAsP induction
mechanism with ascertaining the relationship between cellulase
and protease regulation mechanisms.",,,
7,"Analysis of carotenoid production in the yeast Rhodosporidium
toruloidesby light response.","In recent years, carotenoids have received increasing attention as they have extensive use in
medicine, cosmetic, chemistry, food and feed industry as an antioxidant, vitamin A precursor and food
colorants. Carotenoids widely distribute in diverse microorganisms including the bacteria, the algae
and fungi. Among them, the yeast Rhodosporidium toruloides is convenient for large-scale
fermentation due to its unicellular nature and high growth rate. However, the biotechnological
synthesis of carotenoids is influenced by many factors such as carbon source, light, temperature,
aeration, metal ions and salts. Light is an important factor to considerate during the production of
microbial carotenoids; hence, it improves carotenogenesis. Microorganisms need to prevent
themselves from the light that causes oxidative damage, and carotenogenisis is a photo-protective
mechanism. Although it is well-known light response, the molecular mechanism of light response has
been unknown in R. toruloides. The purpose of this study is to obtain new insights of light response for
carotenoids biosynthesis in R. toruloides. To carry out comparative analysis with wild type,
carotenoids non-producing mutants (white mutants) and higher carotenoid producing mutants (red
mutants) were created.","To obtain mutants, UV mutangenesis was carried out. White mutants were created by screening under
light irradiation and low/no carotenoid production, in contrast, dark condition and higher carotenoid
production were used for screening red mutants. Now, white and red mutants were successfully
obtained. From microarray analysis with wild type and white mutant, some genes related to light
response was found in R. toruloides. Besides, in red mutants, transcription responses of genes
encoding carotenoid biosynthesis are analyzing.",,
7,"Functional analysis of C-terminal tail of putative transcepter Crt1 involved
in lignocellulase production in Trichoderma reesei","Trichoderma reesei is one of the most efficient lignocellulolytic fungi and it produces various lignocellulose-degrading enzymes called as lignocellulase. Lignocellulase secretion of Treesei is dramatically activated when it is cultivated on cellulose as a sole carbon source. However, it is still unknown in detail how Treesei recognizes lignocellulose existing on outer cell. Membrane protein such as transporter show the important role in sugar uptake and recognition in yeast and filamentous fungi. Recently, transcepter that is a group of membrane protein has been identified in some filamentous fungi, and mostly involves in lignocellulase induction. From the analysis of several transporters induced by cellulose in T. reesei, it was revealed that deletion of putative transcepter Crtl lead complete loss of lignocellulase production by cellulose. In addition, expression amount of Crtl was extremely higher than that of the other transporter genes. Furthermore, in phylogenetic tree analysis of reported di-saccharide transporter, it is speculated that C-terminal tail of Crti for lignocellulase induction(A).
To analyze the function of C-terminal tail, we constructed various strains producing a deletion series of C-terminal tail. Transformants producing truncated Crt1(1-488, 1-498) could produce lignocellulase in the presence of cellulose. However, transformant producing truncated Crt1(1-466, 1-472) had no lignocellulase productivity. These results indicate that residues 473-486 of C-terminal involves in lignocellulase production(B). The localization of Crtl in the cell, GFP fused C-terminal tail expression strain was expressed. In fluorescence observation of this strains, C-terminal tail released from cell membrane(C). This result suggests it's possibility that C-terminal tail is involved in signaling of lignocellulase production.","1.C-terminal tall of Crt1 is involved in signaling, ans region of residues 473-486
is important

2.Ctr1 is not involved in induction of sophorose",,
7,"Researchondesign of the cylindrical bladedwind turbine (Vortex wind
turbine).","As we know, the temperature of the earth is increasing continuously. The climate change become
closer to affecting living beings. It’s mainly caused by humans. A primary problem of the rapid increase
of global warming is too much carbon dioxide (CO 2 ) emissions that pumped into the atmosphere.
Burning fossil fuels for generating energy (electricity, heat, etc.) produces carbon dioxide (CO 2 ) [1].
The renewable energy needed to slow down the climate change. Wind energy is playing a critical role
in the environmentally sustainable low-carbon economy [2]. But wind turbines require high-technology
and high-cost for manufacturing. Simple and cheap wind turbine technology has been needed for
expansion of wind energy system. Due to these challenges, we tried to improve the efficiency of a
simple and new wind turbine which has been developing at the Nagaoka University of Technology in
Japan. The wind turbine is shown in figure 1. This horizontal axis wind turbine has plain cylinder blade
with a ring-plate instead of a complex-shaped blade. It works based on vortex theory (Von Karman
Vortex). In this project, this natural phenomenon was used for creating rotation on a cylindrical object.
This paper presents research work on design improvement of the Vortex Wind Turbine (VWT).
Therefore, four prototype models of the VWT were developed. Each model simulated in the Solidworks
software (flow simulation) then made by a high-resolution 3D printer and tested in a wind tunnel.
Consequently, the wind tunnel experiment shows that conventional wind turbine captures more wind
kinetic energy (power) than the VWT under identical conditions. But these simple wind turbines can
reflect the developing countries which have no high-technology and financial capability. Also, the result
of each prototype models was different. Although small changes of design were improved efficiency,
it makes the VWT complex. According to the result, more research work is required on optimization of
simplicity and efficiency of the VWT.",,,
7,Search of Efficient Transformation Method in Rhodosporidium toruloides.,"World population is predicted reaches 9 billion in 2050 years, and it is announced that increasing food production of 60% is necessary. Self-sufficiency rate of food is low in Japan, especially, that of edible oil is only 3%. Currently, almost edible oil production depends on oleaginous plants. Recently, the study of lipid production using an alphaving high production efficiency per unit area is pushed forward. However, they must C16:1 Palmitoleic acid be cultivated using flat tank in large area of land because lipid is produced through the photosynthesis. That is not suitable for small country, Japan. C180 Stearic acid Therefore, a new production method of edible oil is required. Oleaginous yeast Rhodosporidium toruloides can accumulate 70% of lipid mainly triacylglyceroll per dry cell weight by metabolism of monosaccharide without photosynthesis and fatty acid composition is similar to vegetable oil. In addition, there is advantee that is cultivation of R tanioides, can perform in a narrow site. Accordingly, lipid production by R. taruloides attracts researcher's attention. For industrial utiluration, molecular biological understanding of R. foruleides is indispensable. To date, the creation of hich lipid producing mutants and their comparative genomic analysis have been carried out in our laboratory. For understanding mutations resulted in
Carotenoid high lipid production and for molecular breeding to produce value-added lipid in toruloides, efficient transformation method is essential. In this study, several transformation methods were tested for DNA recombination of R toroides
The agrobacterium mediated method, spheroplast PEG method, lithium acetate method, natural transformation method and electroporation
Oxygen method were tested. Screening of transformants were carried out by introduction of hygromycin resistance gene or zeocin resistance gene, or
Oxygen deletion of pyrimidine biosynthesis gene URA3.8, 28, 280 and 2 candidates were obtained by agrobacterium mediated method, spheroplast PEG
disease factor method, natural transformation method and electroporation method, respectively. Among the five methods, the most efficient method for introducing DNA fragments was the natural transformation method. Introduction of DNA fragment was confirmed in 17 candidates of the natural
R. toruloides oil transformation method by colony PCR. However, the introduced DNA fragment had not detected by southern analysis and candidates lost drug
It had not detected by Southern analysis and candidates lost drug i s expected to be used as functional edible oil resistance after subcultivation. Thus, it was sugested that the DNA fragment was not integrated into the genome and transient expression was occurred.","The Natural transformation method could get the most candidates strain
, and the technique was easy.
 However, this method have to improve the integration of DNA fragment into 
the genome or homologous recombination efficiency.",,
7,"Studies on Ageing Mechanism of Structural Materials Using Ion
Accelerator Facilities","• In Japan, there is a long history of research & HRD on irradiation
degradation using ion accelerator facilities owned by national
universities.
—Basic research on radiation damage mechanism
—Systematic, well-controlled irradiation test up to extremely high
dose
—Examination of the influence of trace elements and their detections
• These studies has been usually conducted based on the framework of
“Joint Research Facilities” within Japanese universities, but the use of
overseas researchers is increasing recently.
• I would like to introduce the current status of accelerator facilities and
their activities related to plant life management of NPPs.","Ion irradiation is useful to understand the effect of minor/trace elements
on irradiation degradation.
• Irradiating specimens under extreme condition can reveals the
influence of trace elements.
• Ion beam analysis such as Rutherford Backscattering Spectrometry
(RBS), Particle Induced X-ray Emission (PIXE), Elastic Recoil
Detection Analysis (ERDA), and Nuclear Reaction Analysis (NRA) is
suitable for trace element analysis.",,
7,"Formation of photonic crystal cavity on SOI substrate and emission
characteristics of quantum dots","◆Carrier can be confined three dimensionally.
◆ The energy level becomes discrete.
Light emitting devices using quantum dots have high
recombination rate.
Optical emmision intensity due to quantum dots is expected to be
geater than that of conventional structure, double hetero structure.","◆ We fabricated photonic crystal resonator on Si and SOI substrates and observed the structure using a SEM.
◆ PbS dots were coated on the photonic crystal resonator and emission was observed by PL measurement.",,
9,Industrial potential of Kanpyo that connects to business.," Kanpyo is the gourd family crops (Fig. 1).
 The flesh of gourd was peeled to form long strings
and was dried, the product is shown in (Fig. 2).
 Tochigi has 93% of the domestic amount of
production of the gourd.
 95% of the component is water.
 After drying, Kanpyo shows porous structure.
Kanpyo has various nutrients.
 The taste of the gourd is very
unique, and is difficult to handle.
 The price of Kanpyo begins to be
exposed to competition with the
imported Kanpyo from another
country.
 Waste of Kanpyo is increasing !","It is said that adding of Kanpyo powder acts as a source of nutrient that help in 
the growth of plant.",,
9,Development of innovative technologies for a new agri-business creation,"Kagoshima prefecture has a lot of agricultural brands .
""Kagoshima brands (Table 1)""
Actual state and problems
Decrease of agricultural population, Aging of farmers,
Shortage of successors, Damage of crops and birds and
beasts, etc. (Fig.1)
Aim
To solve these problems by engineering approach.
Possibility (Prospective view)
SDGs Goal 9 : Promote inclusive and sustainable
industrialization and foster innovation.","1.The field surveys play an important role in task clarification. Although preliminary surveys were performed by using a internet,
specialized books, brain storming and KJ method, there were some mismatch between actual tasks and results of preliminary surveys.
2.It was confirmed that Kagoshima prefecture has a lot of regional resources. Also, these regional resources contain the possibility for the
solution of SDGs Goal 9.",,
9,"Functional materials laboratory, National Institute of Technology, Kushiro
College"," We study SnS, Al 2 O 3 and Ga 2 O 3 for collaborative work with Nagaoka University of Technology
Uchitomi laboratory and Tanaka laboratory. SnS is expected for material of photovoltaic cells. Also,
Al 2 O 3 is used for insulating layers. Ga 2 O 3 has been studied in the use of transistor materials. In addition,
transition metals doped Ga 2 O 3 show ferromagnetic property. In this presentation, we introduce these
collaborative works. Our purpose of study of SnS films is development by useful method. Also, We
study to obtain rapidly insulating layer from oxidation of aluminum by atmospheric-pressure plasma.
In addition, we study magnetic properties of Mn doped Ga 2 O 3 .
In the case of SnS study, SnS films are prepared by Sn deposition and sulfurization. Sn is deposited
on glass substrates by vacuum evaporation method. Next, the deposited Sn films sulfurized in tubular
electric furnace. Also, SnS is also prepared by sol-gel method. The samples measured by X-ray
diffraction (XRD), scanning electron microscopy (SEM) and ?????????????? ???? ????????????
??????????????
The optical bandgap of the SnS thin film prepared by sol-gel method can be estimated by plotting
!ℎ# $ as a function of the photon energy (ℎ#), as shown in Fig. 1. The absorption edges were observed
in the range of visible wavelength for the as-deposited film and the film annealed in vacuum. The
bandgap was improved by annealing under nitrogen ambient. The direct bandgap of the SnS film
annealed under nitrogen ambient was 1.48 eV.",,,
9,Tensile behavior of Bi added low Ag lead-free solder,"The RoHS directive restricts the use of lead solder for electronic appliances due to
environmental problems and human health hazards. In response to the restrictions, lead-
free solders such as SAC305 (Sn-3.0mass%Ag-0.5mass%Cu) have been developed as
replacement for lead solders. Sn-0.7mass%Cu based solder and low Ag (0.1-1.0mass%)
lead-free solder are two of the more promising alternatives owing to their low cost. Both
Sn-0.7mass%Cu and low Ag lead-free solder has been reported to exhibit somewhat
inferior tensile strength and high melting temperature compared to SAC305. Additional
adjustments are being made to get new Sn-0.7mass%Cu to exhibit high mechanical and
thermal properties. Recent studies show that the use of Bi addition to Sn-0.7mass%Cu is
an effective approach for improvement of melting temperature and mechanical properties.
The purpose of this study is to investigate the effect of Bi addition to Sn-0.7mass%Cu and
SAC107 (Sn-1.0mass%Ag-0.7mass%Cu) on their tensile properties. Sn-0.7mass%Cu,
SAC107 and Bi (1 and 2 mass%) added to their alloys were used in this study. Tensile
tests were carried out at 298, 353, and 393 K under 1.0 ×10 -3 s -1 strain rate. After tensile
tests, microstructures of their specimens were observed by OM and SEM. The addition
of Bi to Sn-0.7mass%Cu and SAC107 improved tensile strength and had no influence on
elongation. It was found that dendrite structure exists in both Sn-0.7mass%Cu and
SAC107 alloys with/without Bi addition. This is because Bi is dissolved in the primary
solid-solution Sn. As the test temperature increased, the tensile strength of solder
alloys decreased due to the recovery and recrystallization of the microstructure. The
addition of Bi has greater effect on their tensile strength at high temperature (0.8Tm).",,,
9,"Development of evaluation method of strength of dissimilar material joint
by using wedge","Development of Lightweight vehicle from
view point of environmental problem
Multi-Material Body
(Steel + Al alloy + Polymer + Composite)
Development of joining technology for dissimilar materials
Development of evaluation method for dissimilar material joints
Development of simple evaluation method of strength of dissimilar material joint","In case of lager wedge angle than beveling angle, apparent peel strength increases linearly with increasing wedge
angel. This result suggests that change in wedge angle influences on a ratio of component force around interface. In addition, from
this result, there is a possibility that both tension and shear interfacial strength can be estimated at the same time.",,
9,"Fundamental Evaluation on the Mechanical properties of Snow Bank
Formed by Snow Removing Work","The snow which was snowed and made to the
shoulder is called snowy bank.
 The snowy bank according to the environment
and snow quality.
 Investigate to prevent dangers of pedestrians
and vehicles.","Increase experiments with pressurization and
increase data reliability.
 I try to Quantification it with a thin slice photo.",,
9,"Piecewise constant neural spiking oscillators (PWCNSO) ~Bifurcation
analysis and aiming for implementation~","Artificial neuron models
Application to the optimization method using the multi-point searching methods 
Piecewise constant neural spiking
oscillators (PWCNSO)
Generation of complex phenomena, e.g. chaos, quasi-periodic orbit
Use the complex solution for optimization search in dynamic range
･Current results in this investigation
1 Modeling and analysis for the PWCNSO
Rigorous analysis possible for the bifurcation
2 Operating Confirmation of the simple chaotic oscillator by
FPAA, for implementation and future goals","･We analyzed the dynamics of the PWCNSO
･We used the FPAA to experiment with the simple chaotic oscillator",,
9,"Degradation detection for reliable rechargeable batteries combination of
problem based learning and research.","Over the past two decades there has been rapid developments in the
portable electronic devices, resulting in the demand for high performance and
reliable power sources. Although mobile phones have been very popular even in
underdeveloped countries, one in five people of the world population live without
access to electricity. In order to achieve SDGs 7, Ensure access to affordable,
reliable, sustainable and modern energy for all, high reliable and high capacity
batteries are promising solutions for large-scale energy storage as well as for
personal daily life in off-grid areas. Thus, the detection of degradation of
batteries becomes very important for the development of batteries and to maintain
the system. In this research, Acoustic Emission (AE) technique is employed to
detect degradation inside of rechargeable batteries. Figure 1 shows a schematic of
AE measurement system. In the AE method, the energy released from degradation events is
detected as acoustic wave signals. The AE signals from the sample with various conditions
under applied voltage is monitored. The details will be reported in the conference.
? ? ? In addition, the Advanced Course of Kitakyushu College provides a compulsory
Problem Based Learning module at the first year. In the scenario, the students play role as
R&D company persons to develop a new product for SDGs. Through this activity, the
students can deepen their understanding of SDGs and correlate their learning outcomes with
SDGs for further research activity. It is shown that the combination of PBL and research is an
effective way to promote SDGs education in Kosen.",,,
9,"Study of Fracture Control and Lifespan Diagnosis for the Fatigue Crack
Using Piezoelectric Actuator","It is important to control the growth of fatigue cracks for a long time. These cracks are usually occurred from the stress concentration at the corner and the heat stress area by the
welding heat and so on. And these are growing due to the vibration. When a crack length reaches the limit, it is called an unstable fracture state. Then, it cannot be controlled.
The aims of this study are to clarify the stress analysis of fatigue crack tip, to relax the stress of fatigue crack tip, and to expand the remaining life based on the theory of elasticity
and we calculate to predict the growth of fatigue crack using J-integral. The results of the experiments show that it is possible to relax the stress concentrated near the fatigue crack
tip by generating the force using piezoelectric actuator. Furthermore, it was possible to expand the remaining life of steel materials under the cyclic loading.","The results of this study show that it is possible to release the stress concentrated near
the fatigue crack tips by generating the force using piezoelectric actuator. It was
possible to diagnose the remaining life under the cycle loading in the stable fracture
state up to 6[mm] from the fracture toughness value. Furthermore, it was possible to
expand the remaining life of steel materials under the cyclic loading. According to the
results of this experiment in Fig.6, it was confirmed that the life prolongation was
about 160 [%] and analytical solution from J-integral was 152[%].",,
